pan_id,dataproduct,ref,vea,rtn,rms,sza_left,sza_right
118,O4VIS,Ref,0.8,IX,"[0.0012477, 0.000858975, 0.00086688, 0.0011881, 0.0007980800000000001, 0.0006929050000000001]","[28.55, 28.755, 28.96, 29.166, 29.371, 29.576]","[28.755, 28.96, 29.166, 29.371, 29.576, 29.781]"
118,O4VIS,Ref,1.0,IW,[],[],[]
118,O4VIS,Ref,1.0,IX,"[0.0008828999999999997, 0.0006264599999999997, 0.00072472, 0.0007740099999999999, 0.0009965899999999999, 0.004115999999999998]","[28.55, 37.954, 47.357, 56.76, 66.164, 75.568]","[37.954, 47.357, 56.76, 66.164, 75.568, 84.971]"
118,O4VIS,Ref,1.2,IW,[],[],[]
118,O4VIS,Ref,1.2,IX,"[0.0011138, 0.0008001, 0.00082712, 0.001038, 0.000766775, 0.0006460649999999999]","[28.55, 28.755, 28.96, 29.166, 29.371, 29.576]","[28.755, 28.96, 29.166, 29.371, 29.576, 29.781]"
118,O4VIS,Ref,1.4,IW,[],[],[]
118,O4VIS,Ref,1.4,IX,"[0.0011272, 0.0007937, 0.00081618, 0.001005945, 0.00074106, 0.0006161200000000001]","[28.55, 28.755, 28.96, 29.166, 29.371, 29.576]","[28.755, 28.96, 29.166, 29.371, 29.576, 29.781]"
118,O4VIS,Ref,1.6,IW,[],[],[]
118,O4VIS,Ref,1.6,IX,"[0.0011069, 0.0007580999999999999, 0.0007343, 0.0009805150000000002, 0.0007210049999999999, 0.00059581]","[28.55, 28.755, 28.96, 29.166, 29.371, 29.576]","[28.755, 28.96, 29.166, 29.371, 29.576, 29.781]"
118,O4VIS,Ref,1.8,IW,[],[],[]
118,O4VIS,Ref,1.8,IX,"[0.0011069, 0.0007526, 0.00074202, 0.00101862, 0.000720925, 0.000601485]","[28.55, 28.755, 28.96, 29.166, 29.371, 29.576]","[28.755, 28.96, 29.166, 29.371, 29.576, 29.781]"
118,O4VIS,Ref,2.0,IW,[],[],[]
118,O4VIS,Ref,2.0,IX,"[0.0007838049999999999, 0.00055415, 0.0005906299999999998, 0.0006647749999999999, 0.00085824, 0.003829599999999994]","[28.55, 37.927, 47.304, 56.68, 66.057, 75.434]","[37.927, 47.304, 56.68, 66.057, 75.434, 84.811]"
118,O4VIS,Ref,3.0,IW,[],[],[]
118,O4VIS,Ref,3.0,IX,"[0.0005542899999999998, 0.00049845, 0.0005217199999999999, 0.0005616299999999999, 0.0006802700000000001, 0.0011193999999999993]","[28.55, 37.902, 47.254, 56.606, 65.957, 75.309]","[37.902, 47.254, 56.606, 65.957, 75.309, 84.661]"
118,O4VIS,Ref,4.0,IW,[],[],[]
118,O4VIS,Ref,4.0,IX,"[0.0006951049999999994, 0.0004489000000000003, 0.0005445, 0.0006090999999999998, 0.0008435399999999998, 0.003249399999999996]","[28.55, 37.875, 47.2, 56.526, 65.851, 75.176]","[37.875, 47.2, 56.526, 65.851, 75.176, 84.501]"
118,O4VIS,Ref,5.0,IW,[],[],[]
118,O4VIS,Ref,5.0,IX,"[0.0010096999999999999, 0.000711625, 0.00059978, 0.00082465, 0.000566745, 0.0005401]","[28.55, 28.754, 28.957, 29.16, 29.364, 29.568]","[28.754, 28.957, 29.16, 29.364, 29.568, 29.771]"
118,O4VIS,Ref,6.0,IW,[],[],[]
118,O4VIS,Ref,6.0,IX,"[0.00048259999999999964, 0.00048575999999999996, 0.0004951199999999999, 0.0005818449999999996, 0.00076801, 0.002979199999999998]","[29.0, 38.224, 47.447, 56.671, 65.894, 75.118]","[38.224, 47.447, 56.671, 65.894, 75.118, 84.341]"
118,O4VIS,Ref,8.0,IW,[],[],[]
118,O4VIS,Ref,8.0,IX,"[0.000451065, 0.00048535, 0.00051549, 0.0005676399999999997, 0.00069787, 0.0025443999999999935]","[28.97, 38.174, 47.377, 56.58, 65.784, 74.988]","[38.174, 47.377, 56.58, 65.784, 74.988, 84.191]"
118,O4VIS,Ref,15.0,IW,[],[],[]
118,O4VIS,Ref,15.0,IX,"[0.00046571000000000015, 0.00046026, 0.00047419999999999987, 0.0005164099999999996, 0.0007397799999999991, 0.00098514]","[28.94, 38.124, 47.307, 56.491, 65.674, 74.858]","[38.124, 47.307, 56.491, 65.674, 74.858, 84.041]"
118,O4VIS,Ref,30.0,IW,[],[],[]
118,O4VIS,Ref,30.0,IX,"[0.0004511, 0.0004512199999999998, 0.00050415, 0.0005090799999999999, 0.0006104099999999998, 0.0017001199999999816]","[28.91, 38.074, 47.237, 56.4, 65.564, 74.728]","[38.074, 47.237, 56.4, 65.564, 74.728, 83.891]"
118,O4VIS,Ref,90.0,IW,"[0.00048635, 0.0008568499999999998, 0.0009347149999999999, 0.0011329999999999997, 0.007498249999999998, 0.013159499999999989, 0.018256, 0.0196635, 0.02683]","[81.26, 84.024, 85.406, 86.788, 88.17, 89.553, 90.935, 92.317, 93.699]","[82.642, 85.406, 86.788, 88.17, 89.553, 90.935, 92.317, 93.699, 95.081]"
118,O4VIS,Ref,90.0,IX,"[0.00042450499999999977, 0.00047123499999999975, 0.0004649599999999999, 0.0004822, 0.0005797, 0.00088698]","[28.54, 37.992, 47.444, 56.896, 66.347, 75.799]","[37.992, 47.444, 56.896, 66.347, 75.799, 85.251]"
118,O4VIS,MeasLow,-5.0,IW,[],[],[]
118,O4VIS,MeasLow,-5.0,IX,"[0.00866845, 0.0090692, 0.01122275, 0.00769085, 0.00638295, 0.0038299]","[28.54, 28.75, 28.96, 29.17, 29.381, 29.591]","[28.75, 28.96, 29.17, 29.381, 29.591, 29.801]"
118,O4VIS,MeasLow,-4.0,IW,[],[],[]
118,O4VIS,MeasLow,-4.0,IX,"[0.00818505, 0.0085037, 0.01199325, 0.0088738, 0.0081313, 0.006688100000000001]","[28.54, 28.75, 28.96, 29.17, 29.381, 29.591]","[28.75, 28.96, 29.17, 29.381, 29.591, 29.801]"
118,O4VIS,MeasLow,-3.0,IW,[],[],[]
118,O4VIS,MeasLow,-3.0,IX,"[0.00797735, 0.008578999999999998, 0.01049075, 0.007786899999999999, 0.006987299999999999, 0.0056635999999999995]","[28.54, 28.75, 28.96, 29.17, 29.381, 29.591]","[28.75, 28.96, 29.17, 29.381, 29.591, 29.801]"
118,O4VIS,MeasLow,-2.0,IW,[],[],[]
